791;779
388;530
385;393
682;304
274;273
276;219
764;292
64;388
789;907
621;35
99;802
776;874
717;231
845;650
453;520
886;148
984;838
668;238
76;791
231;159
550;118
783;939
248;741
698;0
663;67
142;589
305;573
465;714
22;318
991;914
785;402
588;485
68;957
380;383
410;355
823;696
715;709
21;851
202;413
214;971
417;159
540;757
974;896
498;887
568;847
726;609
480;927
378;447
317;377
12;722
629;527
465;601
442;320
647;660
777;27
408;104
107;636
885;560
852;209
109;289
846;286
282;284
846;760
595;770
901;680
880;272
93;276
818;384
133;864
683;584
939;899
90;102
630;785
479;400
265;291
995;262
964;440
125;612
189;780
104;133
595;492
814;151
181;731
643;913
968;860
1000;342
194;26
21;466
654;755
644;28
579;606
957;971
525;728
500;882
648;334
613;483
592;421
480;398
842;54
39;550
